Clave entidad,"Entidad
federativa",Clave municipio,Municipio,Índice de rezago social
1,Aguascalientes,1001,Aguascalientes,-1.31532
1,Aguascalientes,1002,Asientos,-0.857301
1,Aguascalientes,1003,Calvillo,-0.918554
1,Aguascalientes,1004,Cosío,-1.004023
1,Aguascalientes,1005,Jesús María,-1.173361
1,Aguascalientes,1006,Pabellón de Arteaga,-1.168755
1,Aguascalientes,1007,Rincón de Romos,-1.065487
1,Aguascalientes,1008,San José de Gracia,-0.956906
1,Aguascalientes,1009,Tepezalá,-0.900102
1,Aguascalientes,1010,El Llano,-0.829259
1,Aguascalientes,1011,San Francisco de los Romo,-1.075474
2,Baja California,2001,Ensenada,-0.970463
2,Baja California,2002,Mexicali,-1.240347
2,Baja California,2003,Tecate,-1.024642
2,Baja California,2004,Tijuana,-1.149643
2,Baja California,2005,Playas de Rosarito,-0.956101
2,Baja California,2006,San Quintín,0.349481
3,Baja California Sur,3001,Comondú,-0.811338
3,Baja California Sur,3002,Mulegé,-0.568869
3,Baja California Sur,3003,La Paz,-1.101218
3,Baja California Sur,3008,Los Cabos,-0.758723
3,Baja California Sur,3009,Loreto,-0.890728
4,Campeche,4001,Calkiní,-0.427612
4,Campeche,4002,Campeche,-1.14464
4,Campeche,4003,Carmen,-0.922415
4,Campeche,4004,Champotón,-0.446059
4,Campeche,4005,Hecelchakán,-0.453318
4,Campeche,4006,Hopelchén,0.036244
4,Campeche,4007,Palizada,-0.31218
4,Campeche,4008,Tenabo,-0.34409
4,Campeche,4009,Escárcega,-0.379536
4,Campeche,4010,Calakmul,0.317074
4,Campeche,4011,Candelaria,0.414902
4,Campeche,4012,Seybaplaya,-0.699509
5,Coahuila de Zaragoza,5001,Abasolo,-1.282192
5,Coahuila de Zaragoza,5002,Acuña,-1.186766
5,Coahuila de Zaragoza,5003,Allende,-1.221814
5,Coahuila de Zaragoza,5004,Arteaga,-1.049694
5,Coahuila de Zaragoza,5005,Candela,-0.706085
5,Coahuila de Zaragoza,5006,Castaños,-1.165801
5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,-0.773303
5,Coahuila de Zaragoza,5008,Escobedo,-0.964528
5,Coahuila de Zaragoza,5009,Francisco I. Madero,-1.02787
5,Coahuila de Zaragoza,5010,Frontera,-1.300759
5,Coahuila de Zaragoza,5011,General Cepeda,-0.91883
5,Coahuila de Zaragoza,5012,Guerrero,-0.736287
5,Coahuila de Zaragoza,5013,Hidalgo,-0.89738
5,Coahuila de Zaragoza,5014,Jiménez,-0.72267
5,Coahuila de Zaragoza,5015,Juárez,-1.009518
5,Coahuila de Zaragoza,5016,Lamadrid,-1.095539
5,Coahuila de Zaragoza,5017,Matamoros,-1.039603
5,Coahuila de Zaragoza,5018,Monclova,-1.355182
5,Coahuila de Zaragoza,5019,Morelos,-1.278062
5,Coahuila de Zaragoza,5020,Múzquiz,-1.098356
5,Coahuila de Zaragoza,5021,Nadadores,-1.16147
5,Coahuila de Zaragoza,5022,Nava,-1.227345
5,Coahuila de Zaragoza,5023,Ocampo,-0.43041
5,Coahuila de Zaragoza,5024,Parras,-1.026923
5,Coahuila de Zaragoza,5025,Piedras Negras,-1.295353
5,Coahuila de Zaragoza,5026,Progreso,-0.842305
5,Coahuila de Zaragoza,5027,Ramos Arizpe,-1.257305
5,Coahuila de Zaragoza,5028,Sabinas,-1.270138
5,Coahuila de Zaragoza,5029,Sacramento,-1.164213
5,Coahuila de Zaragoza,5030,Saltillo,-1.383355
5,Coahuila de Zaragoza,5031,San Buenaventura,-1.294073
5,Coahuila de Zaragoza,5032,San Juan de Sabinas,-1.250474
5,Coahuila de Zaragoza,5033,San Pedro,-0.947149
5,Coahuila de Zaragoza,5034,Sierra Mojada,-1.040244
5,Coahuila de Zaragoza,5035,Torreón,-1.334731
5,Coahuila de Zaragoza,5036,Viesca,-0.594478
5,Coahuila de Zaragoza,5037,Villa Unión,-1.09659
5,Coahuila de Zaragoza,5038,Zaragoza,-0.907766
6,Colima,6001,Armería,-0.489055
6,Colima,6002,Colima,-1.157756
6,Colima,6003,Comala,-0.719713
6,Colima,6004,Coquimatlán,-0.646125
6,Colima,6005,Cuauhtémoc,-0.884068
6,Colima,6006,Ixtlahuacán,-0.421713
6,Colima,6007,Manzanillo,-1.087651
6,Colima,6008,Minatitlán,-0.623937
6,Colima,6009,Tecomán,-0.48853
6,Colima,6010,Villa de Álvarez,-1.32786
7,Chiapas,7001,Acacoyagua,0.082204
7,Chiapas,7002,Acala,-0.03197
7,Chiapas,7003,Acapetahua,0.039884
7,Chiapas,7004,Altamirano,1.42085
7,Chiapas,7005,Amatán,1.256774
7,Chiapas,7006,Amatenango de la Frontera,0.229509
7,Chiapas,7007,Amatenango del Valle,2.321146
7,Chiapas,7008,Angel Albino Corzo,0.517613
7,Chiapas,7009,Arriaga,-0.429847
7,Chiapas,7010,Bejucal de Ocampo,0.684595
7,Chiapas,7011,Bella Vista,0.610934
7,Chiapas,7012,Berriozábal,0.045575
7,Chiapas,7013,Bochil,0.682808
7,Chiapas,7014,El Bosque,1.301126
7,Chiapas,7015,Cacahoatán,-0.222215
7,Chiapas,7016,Catazajá,-0.066618
7,Chiapas,7017,Cintalapa,-0.137743
7,Chiapas,7018,Coapilla,0.381097
7,Chiapas,7019,Comitán de Domínguez,-0.280019
7,Chiapas,7020,La Concordia,0.526642
7,Chiapas,7021,Copainalá,0.080833
7,Chiapas,7022,Chalchihuitán,4.260517
7,Chiapas,7023,Chamula,2.564559
7,Chiapas,7024,Chanal,2.4473
7,Chiapas,7025,Chapultenango,0.734063
7,Chiapas,7026,Chenalhó,2.877015
7,Chiapas,7027,Chiapa de Corzo,-0.452716
7,Chiapas,7028,Chiapilla,0.050131
7,Chiapas,7029,Chicoasén,-0.172642
7,Chiapas,7030,Chicomuselo,0.527657
7,Chiapas,7031,Chilón,2.16834
7,Chiapas,7032,Escuintla,0.151513
7,Chiapas,7033,Francisco León,0.786109
7,Chiapas,7034,Frontera Comalapa,-0.088252
7,Chiapas,7035,Frontera Hidalgo,0.05739
7,Chiapas,7036,La Grandeza,0.281259
7,Chiapas,7037,Huehuetán,0.181587
7,Chiapas,7038,Huixtán,1.87954
7,Chiapas,7039,Huitiupán,1.389175
7,Chiapas,7040,Huixtla,-0.219837
7,Chiapas,7041,La Independencia,0.77228
7,Chiapas,7042,Ixhuatán,0.394224
7,Chiapas,7043,Ixtacomitán,0.043094
7,Chiapas,7044,Ixtapa,0.65865
7,Chiapas,7045,Ixtapangajoya,0.573689
7,Chiapas,7046,Jiquipilas,-0.117168
7,Chiapas,7047,Jitotol,0.698862
7,Chiapas,7048,Juárez,-0.328909
7,Chiapas,7049,Larráinzar,1.255667
7,Chiapas,7050,La Libertad,-0.189003
7,Chiapas,7051,Mapastepec,-0.060241
7,Chiapas,7052,Las Margaritas,1.599144
7,Chiapas,7053,Mazapa de Madero,0.329235
7,Chiapas,7054,Mazatán,0.060171
7,Chiapas,7055,Metapa,-0.310815
7,Chiapas,7056,Mitontic,2.865647
7,Chiapas,7057,Motozintla,0.277526
7,Chiapas,7058,Nicolás Ruíz,0.284701
7,Chiapas,7059,Ocosingo,1.739935
7,Chiapas,7060,Ocotepec,1.645398
7,Chiapas,7061,Ocozocoautla de Espinosa,0.170683
7,Chiapas,7062,Ostuacán,0.136178
7,Chiapas,7063,Osumacinta,-0.326817
7,Chiapas,7064,Oxchuc,3.378717
7,Chiapas,7065,Palenque,0.086753
7,Chiapas,7066,Pantelhó,2.491271
7,Chiapas,7067,Pantepec,1.13541
7,Chiapas,7068,Pichucalco,-0.221975
7,Chiapas,7069,Pijijiapan,-0.048161
7,Chiapas,7070,El Porvenir,0.527706
7,Chiapas,7071,Villa Comaltitlán,0.083613
7,Chiapas,7072,Pueblo Nuevo Solistahuacán,1.119394
7,Chiapas,7073,Rayón,0.768871
7,Chiapas,7074,Reforma,-0.724109
7,Chiapas,7075,Las Rosas,1.054037
7,Chiapas,7076,Sabanilla,1.364996
7,Chiapas,7077,Salto de Agua,1.24697
7,Chiapas,7078,San Cristóbal de las Casas,-0.122718
7,Chiapas,7079,San Fernando,0.002227
7,Chiapas,7080,Siltepec,0.555407
7,Chiapas,7081,Simojovel,1.507437
7,Chiapas,7082,Sitalá,4.173845
7,Chiapas,7083,Socoltenango,0.317392
7,Chiapas,7084,Solosuchiapa,0.369846
7,Chiapas,7085,Soyaló,0.422559
7,Chiapas,7086,Suchiapa,-0.281148
7,Chiapas,7087,Suchiate,0.603534
7,Chiapas,7088,Sunuapa,0.224661
7,Chiapas,7089,Tapachula,-0.404519
7,Chiapas,7090,Tapalapa,0.610062
7,Chiapas,7091,Tapilula,-0.065293
7,Chiapas,7092,Tecpatán,0.322362
7,Chiapas,7093,Tenejapa,1.683409
7,Chiapas,7094,Teopisca,1.262836
7,Chiapas,7096,Tila,1.745
7,Chiapas,7097,Tonalá,-0.546402
7,Chiapas,7098,Totolapa,0.721426
7,Chiapas,7099,La Trinitaria,0.473267
7,Chiapas,7100,Tumbalá,1.674061
7,Chiapas,7101,Tuxtla Gutiérrez,-1.071436
7,Chiapas,7102,Tuxtla Chico,0.047119
7,Chiapas,7103,Tuzantán,0.025636
7,Chiapas,7104,Tzimol,0.179531
7,Chiapas,7105,Unión Juárez,-0.140053
7,Chiapas,7106,Venustiano Carranza,0.543004
7,Chiapas,7107,Villa Corzo,0.226467
